ID_Encuestado,Pais,Ronda,Genero,Anio_Nacimiento,Nivel_Educativo,Situacion_Economica,Voluntariado_12m,Donacion_Politica_12m,Capacidad_Rol_Politico,Confianza_ONU,Preocupacion_Clima,Responsabilidad_Clima,Inmigracion_Economia,Inmigracion_Cultura,Inmigracion_Pais_Mejor_Peor
3220.0,AT,9,Hombre,1949.0,Secundaria baja,Difícil,,,Bastante capaz,9,,,5,5,5
3262.0,AT,9,Mujer,1968.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,5,,,6,6,6
3283.0,AT,9,Hombre,1974.0,Máster/Doctorado,Saliendo adelante,,,Poco capaz,1,,,8,2,2
3284.0,AT,9,Mujer,1964.0,Secundaria baja,Difícil,,,Nada capaz,3,,,9,9,8
3323.0,AT,9,Mujer,1966.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,6,,,6,7,8
3393.0,AT,9,Hombre,1985.0,Secundaria alta (baja),Cómodamente,,,Nada capaz,,,,5,5,5
3409.0,AT,9,Hombre,1979.0,Secundaria alta (alta),Saliendo adelante,,,Bastante capaz,6,,,5,4,2
3469.0,AT,9,Mujer,1957.0,Secundaria alta (alta),Cómodamente,,,Nada capaz,5,,,9,3,5
3502.0,AT,9,Mujer,1984.0,Vocacional avanzado,Saliendo adelante,,,Muy capaz,4,,,0,0,0
3566.0,AT,9,Mujer,1987.0,Máster/Doctorado,Cómodamente,,,Muy capaz,9,,,7,9,6
3590.0,AT,9,Hombre,1956.0,Secundaria alta (baja),Difícil,,,Bastante capaz,1,,,1,1,2
3604.0,AT,9,Mujer,1994.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,0,,,5,2,3
3651.0,AT,9,Hombre,1944.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,4,,,3,0,5
3654.0,AT,9,Hombre,1983.0,Secundaria baja,Saliendo adelante,,,Poco capaz,2,,,5,5,4
3667.0,AT,9,Hombre,1957.0,Secundaria baja,Saliendo adelante,,,Bastante capaz,1,,,3,3,3
3676.0,AT,9,Hombre,1992.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,6,,,3,3,3
3678.0,AT,9,Mujer,1973.0,Máster/Doctorado,Cómodamente,,,Nada capaz,8,,,6,7,5
